Nr;Art;Mag;KBN;Nazwa art. 1;Nr fabr;Nazwa art. 2;L/B;StanDost;Wart;OstRez;Dz;Dost;NrProc;Suf;Poz;TOK;CDS;MA Erf.;
1;5;130;CLASWP17075U;WANNA PROSTOKĄTNA CLASSIC DUO 170x75;290700013001;BIAŁY USZL.BEZ NÓG;B;1.000;;1161229;S;KAAH01;14276176;1;2000;TMP;TMP;03744;
2;5;130;CN22KV3001320;GRZEJNIK COSMO 22KV 300x1320 (1445W);F1G2203013210000;PŁYTOWY;B;2.000;;1170113;G;VNWA01;14199884;1;8000;STE;SCE;03513;
3;5;130;CN11KV3001000;GRZEJNIK COSMO 11KV 300x1000  (565W);F1G1103010010000;PŁYTOWY;B;1.000;;1170113;G;VNWA01;14199884;1;17000;STE;SCE;03513;
4;5;130;CN22KV3001120;GRZEJNIK COSMO 22KV 300x1120 (1226W);F1G2203011210000;PŁYTOWY;B;1.000;;1170113;G;VNWA01;14199884;1;20000;STE;SCE;03513;
5;5;130;CN22KV3001320;GRZEJNIK COSMO 22KV 300x1320 (1445W);F1G2203013210000;PŁYTOWY;B;2.000;;1170113;G;VNWA01;14199884;1;36000;STE;SCE;03513;
6;5;130;CN22VM600920;GRZEJNIK COSMO T6 22VM 600x 920 (1576W);F1H2206009210000;PŁYTOWY;B;1.000;;1170113;G;VNWA01;14276471;1;2000;STE;SCE;03513;
7;5;130;CNB2218030;GRZEJNIK COSMO 22 1800x300 (1132W);F252218003011G00;PŁYTOWY PIONOWY PODŁĄCZENIE ŚRODKOWE;B;1.000;;1170113;G;VNWA01;14276471;1;6000;STE;SCE;03513;
8;5;130;CN33KVL6001000;GRZEJNIK COSMO 33KV 600x1000 (2453W);F1G3306010010010;PŁYTOWY LEWY;B;1.000;;1170113;G;VNWA01;14278206;1;6000;STD;SCD;03852;
9;5;130;#WAVA;RURA ST RC WODA SDR11 DN40X3.7 (100M);WAVHA;UWAGA-KALK.OD C.ZAKUPU WPISZ KOD;;190.000;;1160817;Z;WABU01;14229148;1;1000;SH2;SHA;03630;
10;5;130;UPCKT315BE;TRÓJNIK PVC KANALIZACYJNY 315x160/87°ZEW;23325;.;B;1.000;;1150924;Z;MALI01;14138813;1;1000;SH2;SHA;03630;
11;5;130;#FNS;WŁAZ KANAŁOWY D400 Z WENTYLACJĄ;89480121;Z WYPEŁNIENIEM BETONOWYM DN680;;5.000;;1160722;Z;FAKO01;14142039;1;1000;SH2;SHB;03511;
12;5;130;#FNS;WŁAZ KANAŁOWY D400 BEZ WENTYLACJI;8948551;Z WYPEŁNIENIEM BETONOWYM DN680 Z ZAB.;;10.000;;1151012;Z;FAKO01;14142039;1;2000;SH2;SHB;03511;
13;5;130;#FNS;POKRYWA WŁAZU D400 BEZ WENTYLACJI;8948551P;BETON DN680;;40.000;;1151012;Z;FAKO01;14142039;1;5000;SH2;SHB;03511;
14;5;130;#FNS;POKRYWA WŁAZU D400 BEZ WENTYLACJI;8947551P;ŻELIWO DN680;;20.000;;1160722;Z;FAKO01;14142039;1;6000;SH2;SHB;03511;
15;5;130;#FNS;PALETA DREWNIANA;FNS;UWAGA-KALK.OD C.ZAKUPU WPISZ KOD;;25.000;;1160816;Z;FAKO01;14142039;1;9000;SH2;SHB;03511;
16;5;130;JFHN800408125;HYDRANT NADZIEMNY DN80 RD=1250MM;8004008022;ŁAMANY POJ. ZAMK. NR KAT. 8004 GGG40;L;4.000;;1160518;Z;JAJA01;14204743;1;33000;SH2;SHA;03630;
17;5;130;JFPALETA;PALETA 1200x800;PALETA;;L;1.000;;1160518;Z;JAJA01;14204743;1;52000;SH2;SHA;03630;
18;5;130;JFPRZEKLADKAL;PRZEKŁADKA ŁADUNKOWA - DYBY DO HYDRANTÓW;PRZEKLADKAL;;L;2.000;;1160518;Z;JAJA01;14204743;1;53000;SH2;SHA;03630;
19;5;130;GEMSCRU19457;RURA 42x1,5 OCYNKOWANA DWUSTRONNIE 6M;19457;C-STAHL MAPRESS STAL WĘGLOWA WIĄZKA 30M;L;108.000;;1160620;I;GEWA01;14210668;1;2000;STC;SCC;03510;
20;5;130;KGBDKOD;KONSTRUKCJA OCHRONNA Z DREWNA;KGBKOD;;L;5.000;;1160707;Z;KEHA04;14218579;1;19000;SH2;SHA;03630;
21;5;130;KGBDSM1;SMAR KERAMO 1KG;KGSM1KG;;L;3.000;;1160707;Z;KEHA04;14218579;1;20000;SH2;SHA;03630;
22;5;130;UPCKRL400SD;RURA PVC KANALIZACYJNA 400x3000 LITA SN8;226028;(S);B;1.000;;1160708;Z;MALI01;14219811;1;1000;SH2;SHA;03631;
23;5;130;UPCKR250NC;RURA PVC KANALIZACYJNA 250x2000 ZEW SN4;24020;(N);B;3.000;;1161024;Z;MALI01;14252245;1;1000;STC;SCC;03510;
24;5;130;UPCKR250ND;RURA PVC KANALIZACYJNA 250x3000 ZEW SN4;24023;(N);B;4.000;;1161024;Z;MALI01;14252245;1;2000;STC;SCC;03510;
25;5;130;#FNS;WŁAZ KANAŁOWY D400 Z WENTYLACJĄ;8947441;ŻELWINY DN680;;5.000;;1161124;Z;FAKO01;14265790;1;1000;SH2;SHB;03630;
26;5;130;GEMSCRU29160;RURA 88,9x2,0 OCYNKOWANA ZEWNĘTRZNIE 6M;29160;C-STAHL MAPRESS STAL WĘGLOWA WIĄZKA  96M;L;48.000;;1161219;I;GEWA01;14271221;1;2000;STE;SCE;03513;
27;5;130;UP15T10A;TRÓJNIK PP KANALIZACYJNY 160x110/45°SZAR;11610;Y;B;13.000;;1170110;I;MALI01;14274908;1;1000;STC;SCC;03510;
28;5;130;UP15K;KOREK  PP  KANALIZACYJNY 160     SZARY;12550;;B;6.000;;1170110;I;MALI01;14274908;1;25000;STC;SCC;03510;
29;5;130;UP15R050;RURA PP  KANALIZACYJNA 160x 500 SZARA;10620;;B;6.000;;1170110;I;MALI01;14274908;1;29000;STC;SCC;03510;
30;5;130;UP15R100;RURA PP  KANALIZACYJNA 160x1000 SZARA;10640;;B;20.000;;1170117;I;MALI01;14274908;1;30000;STC;SCC;03510;
31;5;130;UP15R200;RURA PP  KANALIZACYJNA 160x2000 SZARA;10660;;B;40.000;;1170117;I;MALI01;14274908;1;31000;STC;SCC;03510;
32;5;130;KZOODG150U;OSADNIK DESZCZOWY- SYFON GEIGERA DN 150;1036000500;Z USZCZELKĄ ŻELIWO SZARE;B;3.000;;1161230;Z;KOKO01;14275790;1;2000;SH2;SHA;03630;
33;5;130;GEPERU250;RURA HDPE 250x234,4 (5M);371000160;.;B;35.000;;1170117;I;GEWA01;14277276;1;5000;STC;SCC;03510;
34;5;130;GEPERU251;RURA HDPE 250x230,6 (5M)SN4;371050160;.;B;10.000;;1170117;I;GEWA01;14277276;1;6000;STC;SCC;03510;
35;5;130;GEPERU201;RURA HDPE 200x184,6x7,7 (5M)SN4;370050160;.;B;10.000;;1170117;I;GEWA01;14277279;1;9000;STC;SCC;03510;
36;5;130;GEPERU250;RURA HDPE 250x234,4 (5M);371000160;.;B;5.000;;1170117;I;GEWA01;14277279;1;10000;STC;SCC;03510;
37;5;130;GEPERU251;RURA HDPE 250x230,6 (5M)SN4;371050160;.;B;20.000;;1170117;I;GEWA01;14277279;1;11000;STC;SCC;03510;
38;5;130;UP16R12;ZWĘŻKA REDUKCYJNA PP  160x125  SZARA;11370;KANALIZACYJNA;B;15.000;;1170110;I;MALI01;14278548;1;1000;SXC;SCC;03510;
39;5;130;WHADC0309;POMPA CIEPŁA AQUAREA WH-ADC0309G3E5;WHADC0309G3E5;1~ JEDNOSTKA WEWNĘTRZNA POWIETRZE/WODA;B;1.000;;1161229;G;PNWA01;14275682;1;2000;STA;SCA;03826;
40;5;130;BX25ZGO20BPL1;HYDRANT ZAWIESZANY FI25 L=20 BIAŁY;25HG1000BZO20BPL;OKNO PATENT KOMBI UNIW.PION.1000x650x250;B;7.000;;1170113;I;BOPI01;14279062;1;1000;STE;SCE;03513;
41;5;130;*ROT1;EKSPANDER A1 Z RĘKOJEŚCIĄ 35-42-54-64-76;;-108 MM;;1.000;;1130320;I;ROWA01;10453998;1;1000;STG;SCG;03740;
42;5;130;CNHDEV9920;GRZEJNIK COSMO 30V 900x 920 (1893W);F1G3009009200000;PŁYTOWY HIGIENICZNY;B;1.000;;1150423;G;VNWA01;14094742;1;2000;STC;SCC;03748;
43;5;130;#FU1;POŁĄCZENIE KIELICHA RURY KAMIONKOWEJ;KGUSM150K_0020;DN/OD 160 Z USZCZELKĄ;;5.000;;1151116;Z;FUPR01;14154924;1;1000;SH2;SHA;03511;
44;5;130;CLAOWP160EW;OBUDOWA DO WANNY PROSTOKĄTNEJ CLASSIC160;620011005001000;BIAŁA EW;B;1.000;;1150309;S;SAST01;14086448;1;2000;STX;STX;03679;
45;5;130;CONELOPUK30028;CONEL PUR KOLANO 30/ 28MM (3/4");120273;;B;8.000;;1150331;I;IZCM02;14092854;1;1000;STB;SCB;03740;
46;5;130;CONELOPUK30044;CONEL PUR KOLANO 30/ 44MM (11/4");120281;;B;10.000;;1150401;I;IZCM02;14092854;1;2000;STB;SCB;03740;
47;5;130;CONELOPUK30050;CONEL PUR KOLANO 30/ 50MM (11/2");120285;;B;20.000;;1150331;I;IZCM02;14092854;1;3000;STB;SCB;03740;
48;5;130;CN22KV3002800;GRZEJNIK COSMO 22KV 300x2800 (3066W);F1G2203028010000;PŁYTOWY;B;1.000;;1160414;G;VNWA01;14191391;1;129000;STE;SCE;03513;
49;5;130;#QQK;TRÓJNIK TŁOCZNY SPIRO T 2x400/400 PEŁNY;;UWAGA-KALK.OD C.ZAKUPU;;5.000;;1141024;K;DEDO01;14052657;1;1000;SXC;SCC;03748;
50;5;130;KASKB9060100;KOLANO SPAL-POW TURBO 90°  60/100;812060001;WADEX MALOWANE BIAŁE;B;9.000;;1151008;G;WAWR01;14140207;1;4000;STC;SCC;03754;
51;5;130;TURKB4560100;KOLANO SPAL-POW TURBO 45°  60/100;816060001;WADEX MALOWANE BIAŁE;B;8.000;;1151008;G;WAWR01;14140207;1;5000;STC;SCC;03754;
52;5;130;CONELOPUK40090;CONEL PUR KOLANO 40/ 90MM (3");120300;;B;1.000;;1160623;I;IZCM02;14214199;1;1000;STC;SCC;03510;
53;5;130;CONELOPU40090;CONEL PUR OTULINA 40/ 90MM (3");112252506;;B;5.000;;1160623;I;IZCM02;14214199;1;2000;STC;SCC;03510;
54;5;130;#TMGR4;GRZEJNIK ŁAZ.TRIGA 1300*380;WGTRG130038KMGRZX;KOLOR METALLIC GRAY;PODŁĄCZENIE ZX;;1.000;;1161118;G;TEGD01;14255247;1;1000;STF;SCF;03332;
55;5;130;#TMGR4;GRZEJNIK ŁAZ.ANGUS V 1300*440;WGANG130044KMBEZX;KOLOR METALLIC BEIGE;PODŁĄCZENIE ZX;;1.000;;1161118;G;TEGD01;14255247;1;2000;STF;SCF;03332;
56;5;130;CONELOPUK40078;CONEL PUR KOLANO 40/ 78MM (21/2");120296;;B;10.000;;1150721;I;IZCM02;14120229;1;2000;STA;SCA;03826;
57;5;130;CVVHV341407;GRZEJNIK VONARIS VHV 34 142x 700  (735W);F863401407011000;KONWEKTOROWY BEZ ZAWIESZEK;B;2.000;;1150423;G;VNWA01;14094786;1;5000;STC;SCC;03748;
58;5;130;DWWKIT90180;TRÓJNIK DWWK INVEST 90° 180/225;3571800007;WADEX SPALINOWY;B;1.000;;1160912;G;WAWR01;14225088;1;12000;STE;SCE;03675;
59;5;130;CN21KV900520;GRZEJNIK COSMO 21KV 900x 520  (969W);F1G2109005210000;PŁYTOWY;B;1.000;;1160922;G;VNWA01;14239072;1;5000;STG;SCG;03740;
60;5;130;CN21KV900520;GRZEJNIK COSMO 21KV 900x 520  (969W);F1G2109005210000;PŁYTOWY;B;1.000;;1160922;G;VNWA01;14239078;1;1000;STG;SCG;03740;
61;5;130;CN21KV500520;GRZEJNIK COSMO 21KV 500x 520  (638W);F1G2105005210000;PŁYTOWY;B;1.000;;1170118;G;VNWA01;14280063;1;1000;STE;SCE;03675;
62;5;130;CNHD62200;GRZEJNIK COSMO 20 600x2200 (2277W);F1E2006022000000;PŁYTOWY HIGIENICZNY;B;2.000;;1150414;G;VNWA01;14094786;1;6000;STC;SCC;03748;
63;5;130;CN33KV900600;GRZEJNIK COSMO 33KV 900x 600 (1933W);F1G3309006010000;PŁYTOWY;L;6.000;;1170120;G;VNWA01;14199884;1;3000;STE;SCE;03513;
64;5;130;CN33KV900720;GRZEJNIK COSMO 33KV 900x 720 (2319W);F1G3309007210000;PŁYTOWY;L;1.000;;1170120;G;VNWA01;14199884;1;19000;STE;SCE;03513;
65;5;130;CN33KV900600;GRZEJNIK COSMO 33KV 900x 600 (1933W);F1G3309006010000;PŁYTOWY;L;3.000;;1170120;G;VNWA01;14199884;1;31000;STE;SCE;03513;
66;5;130;CN33KV900720;GRZEJNIK COSMO 33KV 900x 720 (2319W);F1G3309007210000;PŁYTOWY;L;2.000;;1170120;G;VNWA01;14199884;1;38000;STE;SCE;03513;
67;5;130;CN22KV3001120;GRZEJNIK COSMO 22KV 300x1120 (1226W);F1G2203011210000;PŁYTOWY;B;2.000;;1170120;G;VNWA01;14199884;1;40000;STE;SCE;03513;
68;5;130;CN33KV900600;GRZEJNIK COSMO 33KV 900x 600 (1933W);F1G3309006010000;PŁYTOWY;L;4.000;;1170120;G;VNWA01;14199884;1;49000;STE;SCE;03513;
69;5;130;CN22KV3001320;GRZEJNIK COSMO 22KV 300x1320 (1445W);F1G2203013210000;PŁYTOWY;B;3.000;;1170120;G;VNWA01;14199884;1;54000;STE;SCE;03513;
70;5;130;CN33KV900720;GRZEJNIK COSMO 33KV 900x 720 (2319W);F1G3309007210000;PŁYTOWY;L;3.000;;1170120;G;VNWA01;14199884;1;56000;STE;SCE;03513;
71;5;130;CN22KV3001120;GRZEJNIK COSMO 22KV 300x1120 (1226W);F1G2203011210000;PŁYTOWY;B;2.000;;1170120;G;VNWA01;14199884;1;58000;STE;SCE;03513;
72;5;130;CN33KV900600;GRZEJNIK COSMO 33KV 900x 600 (1933W);F1G3309006010000;PŁYTOWY;L;3.000;;1170120;G;VNWA01;14199884;1;68000;STE;SCE;03513;
73;5;130;CN33KV900720;GRZEJNIK COSMO 33KV 900x 720 (2319W);F1G3309007210000;PŁYTOWY;L;4.000;;1170120;G;VNWA01;14199884;1;70000;STE;SCE;03513;
74;5;130;CN22KV3001320;GRZEJNIK COSMO 22KV 300x1320 (1445W);F1G2203013210000;PŁYTOWY;B;2.000;;1170120;G;VNWA01;14199884;1;74000;STE;SCE;03513;
75;5;130;CN22KV3001120;GRZEJNIK COSMO 22KV 300x1120 (1226W);F1G2203011210000;PŁYTOWY;B;1.000;;1170120;G;VNWA01;14199884;1;80000;STE;SCE;03513;
76;5;130;CN33KV900600;GRZEJNIK COSMO 33KV 900x 600 (1933W);F1G3309006010000;PŁYTOWY;L;3.000;;1170120;G;VNWA01;14199884;1;89000;STE;SCE;03513;
77;5;130;CN33KV900720;GRZEJNIK COSMO 33KV 900x 720 (2319W);F1G3309007210000;PŁYTOWY;L;3.000;;1170120;G;VNWA01;14199884;1;91000;STE;SCE;03513;
78;5;130;CN22KV3001320;GRZEJNIK COSMO 22KV 300x1320 (1445W);F1G2203013210000;PŁYTOWY;B;2.000;;1170120;G;VNWA01;14199884;1;95000;STE;SCE;03513;
79;5;130;CN22KV3001120;GRZEJNIK COSMO 22KV 300x1120 (1226W);F1G2203011210000;PŁYTOWY;B;2.000;;1170120;G;VNWA01;14199884;1;99000;STE;SCE;03513;
80;5;130;CN33KV900600;GRZEJNIK COSMO 33KV 900x 600 (1933W);F1G3309006010000;PŁYTOWY;L;3.000;;1170120;G;VNWA01;14199884;1;113000;STE;SCE;03513;
81;5;130;CN33KV900720;GRZEJNIK COSMO 33KV 900x 720 (2319W);F1G3309007210000;PŁYTOWY;L;1.000;;1170120;G;VNWA01;14199884;1;115000;STE;SCE;03513;
82;5;130;CN22KV3001320;GRZEJNIK COSMO 22KV 300x1320 (1445W);F1G2203013210000;PŁYTOWY;B;2.000;;1170120;G;VNWA01;14199884;1;120000;STE;SCE;03513;
83;5;130;CN33KV900600;GRZEJNIK COSMO 33KV 900x 600 (1933W);F1G3309006010000;PŁYTOWY;L;3.000;;1170120;G;VNWA01;14199884;1;137000;STE;SCE;03513;
84;5;130;CN33KV900720;GRZEJNIK COSMO 33KV 900x 720 (2319W);F1G3309007210000;PŁYTOWY;L;2.000;;1170120;G;VNWA01;14199884;1;140000;STE;SCE;03513;
85;5;130;CN22KV3001320;GRZEJNIK COSMO 22KV 300x1320 (1445W);F1G2203013210000;PŁYTOWY;B;1.000;;1170120;G;VNWA01;14199884;1;144000;STE;SCE;03513;
86;5;130;CONELOPU30044;CONEL PUR OTULINA 30/ 44MM (11/4");112232506;;B;252.000;;1160621;I;IZCM02;14213609;1;3000;STC;SCC;03510;
87;5;130;WBRE50C;RURA PE-XA EVALPEX 50x4.6     6M S5.0;1008940;DO CWU I CO;B;6.000;;1160715;I;UPSO01;14221111;1;3000;SXC;SCC;03510;
88;5;130;GEMSCRU19456;RURA 35x1,5 OCYNKOWANA DWUSTRONNIE 6M;19456;C-STAHL MAPRESS STAL WĘGLOWA WIĄZKA 60M;L;6.000;;1160804;I;GEWA01;14224649;1;2000;STG;SCG;03675;
89;5;130;CN22K3001800;GRZEJNIK COSMO 22K 300x1800 (1971W);F1E2203018010000;PŁYTOWY;B;1.000;;1160805;G;VNWA01;14224822;1;23100;STE;SCE;03675;
90;5;130;CN22K3002200;GRZEJNIK COSMO 22K 300x2200 (2409W);F1E2203022010000;PŁYTOWY;B;1.000;;1160805;G;VNWA01;14225429;1;4000;STE;SCE;03675;
91;5;130;FREEKN3082SBW0;KABINA PROSTOKĄTNA FREE LINE 80x120x195;600260066042401;CHROM-SR.BŁYSZ/SZ.W0 GLASS.PROT (D+ŚC.);B;1.000;;1160816;S;SAST01;14227643;1;4000;STA;SCA;03826;
92;5;130;CN33KV6001320;GRZEJNIK COSMO 33KV 600x1320 (3238W);F1G3306013210000;PŁYTOWY;B;13.000;;1160826;G;VNWA01;14230551;1;1000;STA;SCA;03826;
93;5;130;CN11KV9001000;GRZEJNIK COSMO 11KV 900x1000 (1292W);F1G1109010010000;PŁYTOWY;B;10.000;;1170112;G;VNWA01;14259379;1;45000;STE;SCE;03513;
94;5;130;CN11VM6001200;GRZEJNIK COSMO T6 11VM 600x1200 (1127W);F1H1106012010000;PŁYTOWY;B;1.000;;1170110;G;VNWA01;14259379;1;46000;STE;SCE;03513;
95;5;130;GEMSERU39248;RURA 54x1,5 STAL SZLACHETNA MAPRESS 6M;39248;1.4521;B;12.000;;1161125;I;GEWA01;14262878;1;1000;STB;SCB;03737;
96;5;130;GEMSERU39247;RURA 42x1,5 STAL SZLACHETNA MAPRESS 6M;39247;1.4521;B;42.000;;1161125;I;GEWA01;14262878;1;2000;STB;SCB;03737;
97;5;130;GEMSERU39246;RURA 35x1,5 STAL SZLACHETNA MAPRESS 6M;39246;1.4521;B;42.000;;1161125;I;GEWA01;14262878;1;3000;STB;SCB;03737;
98;5;130;GEMSERU39245;RURA 28x1,2 STAL SZLACHETNA MAPRESS 6M;39245;1.4521;B;24.000;;1161125;I;GEWA01;14262878;1;4000;STB;SCB;03737;
99;5;130;GEMSERU39244;RURA 22x1,2 STAL SZLACHETNA MAPRESS 6M;39244;1.4521;B;60.000;;1161125;I;GEWA01;14262878;1;5000;STB;SCB;03737;
100;5;130;GEMSERU39242;RURA 15x1 STAL SZLACHETNA MAPRESS 6M;39242;1.4521;B;24.000;;1161125;I;GEWA01;14262878;1;7000;STB;SCB;03737;
101;5;130;GEMSERE32318;REDUKCJA 42x35 STAL SZLACHETNA MAPRESS;32318;;L;2.000;;1161125;I;GEWA01;14262878;1;9000;STB;SCB;03737;
102;5;130;GEMSERE32313;REDUKCJA 35x28 STAL SZLACHETNA MAPRESS;32313;;L;2.000;;1161125;I;GEWA01;14262878;1;10000;STB;SCB;03737;
103;5;130;GEMSERE32306;REDUKCJA 22x18 STAL SZLACHETNA MAPRESS;32306;;L;2.000;;1161125;I;GEWA01;14262878;1;12000;STB;SCB;03737;
104;5;130;GEMSETR31204;TRÓJNIK 18x15x18 STAL SZLACHETNA MAPRESS;31204;;L;3.000;;1161125;I;GEWA01;14262878;1;15000;STB;SCB;03737;
105;5;130;GEMSETR31220;TRÓJNIK 42x35x42 STAL SZLACHETNA;31220;MAPRESS;L;1.000;;1161125;I;GEWA01;14262878;1;18000;STB;SCB;03737;
106;5;130;GEMSETR31225;TRÓJNIK 54x35x54 STAL SZLACHETNA;31225;MAPRESS;L;1.000;;1161125;I;GEWA01;14262878;1;19000;STB;SCB;03737;
107;5;130;GEMSETR31218;TRÓJNIK 42x22x42 STAL SZLACHETNA;31218;MAPRESS;L;5.000;;1161125;I;GEWA01;14262878;1;22000;STB;SCB;03737;
108;5;130;GEMSETR31214;TRÓJNIK 35x22x35 STAL SZLACHETNA;31214;MAPRESS;L;7.000;;1161125;I;GEWA01;14262878;1;23000;STB;SCB;03737;
109;5;130;GEMSEMU32002;MUFA 15 STAL SZLACHETNA MAPRESS;32002;;L;29.000;;1161125;I;GEWA01;14262878;1;24000;STB;SCB;03737;
110;5;130;GEMSEMU32003;MUFA 18 STAL SZLACHETNA MAPRESS;32003;;L;10.000;;1161125;I;GEWA01;14262878;1;25000;STB;SCB;03737;
111;5;130;GEMSEMU32004;MUFA 22 STAL SZLACHETNA MAPRESS;32004;;L;10.000;;1161125;I;GEWA01;14262878;1;26000;STB;SCB;03737;
112;5;130;GEMSEMU32005;MUFA 28 STAL SZLACHETNA MAPRESS;32005;;L;6.000;;1161125;I;GEWA01;14262878;1;27000;STB;SCB;03737;
113;5;130;GEMSEMU32007;MUFA 42 STAL SZLACHETNA MAPRESS;32007;;L;9.000;;1161125;I;GEWA01;14262878;1;29000;STB;SCB;03737;
114;5;130;GEMSEMU32008;MUFA 54 STAL SZLACHETNA MAPRESS;32008;;L;10.000;;1161125;I;GEWA01;14262878;1;30000;STB;SCB;03737;
115;5;130;GEMSEKO30102;KOLANO 90° 15 STAL SZLACHETNA MAPRESS;30102;;L;12.000;;1161125;I;GEWA01;14262878;1;31000;STB;SCB;03737;
116;5;130;GEMSEKO30104;KOLANO 90° 22 STAL SZLACHETNA MAPRESS;30104;;L;3.000;;1161125;I;GEWA01;14262878;1;33000;STB;SCB;03737;
117;5;130;GEMSEKO30105;KOLANO 90° 28 STAL SZLACHETNA MAPRESS;30105;;L;20.000;;1161125;I;GEWA01;14262878;1;34000;STB;SCB;03737;
118;5;130;GEMSEKO31106;KOLANO 90° 35 STAL SZLACHETNA MAPRESS;31106;;B;54.000;;1161125;I;GEWA01;14262878;1;35000;STB;SCB;03737;
119;5;130;GEMSEKO31107;KOLANO 90° 42 STAL SZLACHETNA MAPRESS;31107;;L;12.000;;1161125;I;GEWA01;14262878;1;36000;STB;SCB;03737;
120;5;130;GEMSEKO31108;KOLANO 90° 54 STAL SZLACHETNA MAPRESS;31108;;L;12.000;;1161125;I;GEWA01;14262878;1;37000;STB;SCB;03737;
121;5;130;GEMSEZL31707;ZŁĄCZKA 22x3/4" GZ STAL SZLACHETNA;31707;MAPRESS;L;14.000;;1161125;I;GEWA01;14262878;1;39000;STB;SCB;03737;
122;5;130;GEMSEZL31711;ZŁĄCZKA 54x2" GZ STAL SZLACHETNA;31711;MAPRESS;L;2.000;;1161125;I;GEWA01;14262878;1;42000;STB;SCB;03737;
123;5;130;GEMSEZL31802;ZŁĄCZKA 15x1/2" GW STAL SZLACHETNA;31802;MAPRESS;L;3.000;;1161125;I;GEWA01;14262878;1;43000;STB;SCB;03737;
124;5;130;GEMSEZL31811;ZŁĄCZKA 35x11/4" GW STAL SZLACHETNA;31811;MAPRESS;L;2.000;;1161125;I;GEWA01;14262878;1;44000;STB;SCB;03737;
125;5;130;GEMSEZL31818;ZŁĄCZKA 54x2" GW STAL SZLACHETNA;31818;MAPRESS;L;1.000;;1161125;I;GEWA01;14262878;1;46000;STB;SCB;03737;
126;5;130;GEMSETR31213;TRÓJNIK 35x18x35 STAL SZLACHETNA;31213;MAPRESS;L;2.000;;1161125;I;GEWA01;14262878;1;48000;STB;SCB;03737;
127;5;130;GEMSCTR21231;TRÓJNIK 90° 76,1x35x76,1 C-STAHL;21231;MAPRESS STAL WĘGLOWA;B;4.000;;1161125;I;GEWA01;14262889;1;3000;STB;SCB;03737;
128;5;130;GEMSCTR21219;TRÓJNIK 90° 42x28x42  C-STAHL;21219;MAPRESS STAL WĘGLOWA;B;8.000;;1161125;I;GEWA01;14262889;1;7000;STB;SCB;03737;
129;5;130;GEMSCRE22339;REDUKCJA 88,9x76,1 C-STAHL;22339;MAPRESS STAL WĘGLOWA;B;2.000;;1161125;I;GEWA01;14262889;1;12000;STB;SCB;03737;
130;5;130;GEMSCRE22324;REDUKCJA 54x42 C-STAHL;22324;MAPRESS STAL WĘGLOWA;B;1.000;;1161125;I;GEWA01;14262889;1;15000;STB;SCB;03737;
131;5;130;GEMSCZL21712;ZŁĄCZKA 66,7x2 1/2" GZ C-STAHL;21712;MAPRESS STAL WĘGLOWA;B;4.000;;1161125;I;GEWA01;14262889;1;22000;STB;SCB;03737;
132;5;130;GEMSCRU29210;RURA 88,9x2,0 OCYNKOWANA ZEWNĘTRZNIE 6M;29210;C-STAHL MAPRESS STAL WĘGLOWA;B;30.000;;1161125;I;GEWA01;14262889;1;29000;STB;SCB;03737;
133;5;130;GEMSCRU29209;RURA 76,1x2,0 OCYNKOWANA ZEWNĘTRZNIE 6M;29209;C-STAHL MAPRESS STAL WĘGLOWA;B;42.000;;1161125;I;GEWA01;14262889;1;30000;STB;SCB;03737;
134;5;130;GEMSCMU22009;MUFA 76,1 C-STAHL MAPRESS STAL WĘGLOWA;22009;;B;4.000;;1161125;I;GEWA01;14262889;1;39000;STB;SCB;03737;
135;5;130;GEMSCMU22012;MUFA 66,7 C-STAHL MAPRESS STAL WĘGLOWA;22012;;B;2.000;;1161125;I;GEWA01;14262889;1;40000;STB;SCB;03737;
136;5;130;GEMSCKO20109;KOLANO 90° 76,1 C-STAHL;20109;MAPRESS STAL WĘGLOWA;L;1.000;;1161125;I;GEWA01;14262889;1;48000;STB;SCB;03737;
137;5;130;GEMSCKO20112;KOLANO 90° 66,7 C-STAHL;20112;MAPRESS STAL WĘGLOWA;B;11.000;;1161125;I;GEWA01;14262889;1;49000;STB;SCB;03737;
138;5;130;#CNV;GRZEJNIK COSMO 22KV 900x 520 (1194W);F1G220900521001R7040;PŁYTOWY LEWY RAL7040 WINDOW GREY;;1.000;;1170120;G;VNWA01;14265240;1;1000;STE;SCE;03675;
139;5;130;CN21KV6001800;GRZEJNIK COSMO 21KV 600x1800 (2443W);F1G2106018010000;PŁYTOWY;B;2.000;;1161215;G;VNWA01;14266158;1;1000;SXC;SCC;03510;
140;5;130;CNPL226001800;GRZEJNIK COSMO 22P 600x1800 (3004W);F1J2206018010010;PLAN MULTI PŁYTOWY LEWY;B;1.000;;1161221;G;VNWA01;14266934;1;1000;TMP;TMP;03513;
141;5;130;CN11KVL600920;GRZEJNIK COSMO 11KV 600x 920  (864W);F1G1106009210010;PŁYTOWY LEWY;B;7.000;;1161215;G;VNWA01;14267719;1;3000;SXE;SCE;03513;
142;5;130;CN21KVL600800;GRZEJNIK COSMO 21KV 600x 800 (1086W);F1G2106008010010;PŁYTOWY LEWY;B;4.000;;1161215;G;VNWA01;14267719;1;4000;SXE;SCE;03513;
143;5;130;CN22KVL600400;GRZEJNIK COSMO 22KV 600x 400  (685W);F1G2206004010010;PŁYTOWY LEWY;B;4.000;;1161215;G;VNWA01;14267719;1;7000;SXE;SCE;03513;
